Time_Index,None,coal_QLD,coal_new_QLD,coalccs_new_QLD,gasCCGT_QLD,gasCCGT_new_QLD,gasCCGTccs_new_QLD,gasOCGT_QLD,gasOCGT_new_QLD,liquidOCGT_QLD,biomass_new_QLD
0,0,3.0418,2.4852,0.2611,1.5343,1.2564,0.1766,2.3489,1.8886,3.6936,4.3368
1,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
2,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
3,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
4,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
5,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
6,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
7,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
8,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
9,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
10,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
11,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
12,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
13,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
14,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
15,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
16,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
17,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
18,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
19,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
20,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
21,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
22,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
23,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
24,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
25,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
26,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
27,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
28,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
29,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
30,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
31,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
32,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
33,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
34,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
35,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
36,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
37,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
38,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
39,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
40,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
41,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
42,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
43,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
44,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
45,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
46,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
47,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
48,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
49,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
50,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
51,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
52,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
53,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
54,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
55,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
56,0,2.2444,3.0858,3.0858,9.309,9.7742,9.7742,9.3811,10.1181,32.3077,0.519
