Time_Index,QLD_solar,QLD_solar_2030,QLD_wind,QLD_wind_2030,QLD_hydro,QLD_PHES,QLD_PHES_2030,QLD_battery,QLD_battery_2030,QLD_coal,QLD_coal_2030,QLD_coalccs_2030,QLD_CCGT,QLD_CCGT_2030,QLD_CCGTccs_2030,QLD_OCGT,QLD_OCGT_2030,QLD_liquidOCGT,QLD_biomass_2030,QLD_RTPV,QLD_NSGPV
1,0.0,0.0,0.328,0.328,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
2,0.0,0.0,0.282,0.282,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
3,0.0,0.0,0.244,0.244,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
4,0.0,0.0,0.211,0.211,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
5,0.0,0.0,0.195,0.195,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
6,0.021,0.021,0.17,0.17,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.021,0.021
7,0.137,0.137,0.154,0.154,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.137,0.137
8,0.325,0.325,0.152,0.152,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.325,0.325
9,0.512,0.512,0.14,0.14,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.512,0.512
10,0.662,0.662,0.14,0.14,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.662,0.662
11,0.768,0.768,0.415,0.415,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.768,0.768
12,0.808,0.808,0.446,0.446,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.808,0.808
13,0.798,0.798,0.481,0.481,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.798,0.798
14,0.737,0.737,0.521,0.521,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.737,0.737
15,0.629,0.629,0.553,0.553,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.629,0.629
16,0.475,0.475,0.574,0.574,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.475,0.475
17,0.285,0.285,0.594,0.594,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.285,0.285
18,0.094,0.094,0.61,0.61,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.094,0.094
19,0.007,0.007,0.583,0.583,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.007,0.007
20,0.0,0.0,0.538,0.538,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
21,0.0,0.0,0.532,0.532,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
22,0.0,0.0,0.512,0.512,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
23,0.0,0.0,0.47,0.47,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
24,0.0,0.0,0.459,0.459,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
25,0.0,0.0,0.398,0.398,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
26,0.0,0.0,0.357,0.357,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
27,0.0,0.0,0.358,0.358,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
28,0.0,0.0,0.374,0.374,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
29,0.0,0.0,0.374,0.374,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
30,0.019,0.019,0.366,0.366,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.019,0.019
31,0.132,0.132,0.377,0.377,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.132,0.132
32,0.336,0.336,0.408,0.408,0.8064642726369914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.336,0.336
