Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,0,1,0,2000,1,8760,1,1,6287
,,,,,,,,2,5869
,,,,,,,,3,5707
,,,,,,,,4,5645
,,,,,,,,5,5610
,,,,,,,,6,5581
,,,,,,,,7,5828
,,,,,,,,8,6287
,,,,,,,,9,6867
,,,,,,,,10,7280
,,,,,,,,11,7540
,,,,,,,,12,7638
,,,,,,,,13,7688
,,,,,,,,14,7777
,,,,,,,,15,7807
,,,,,,,,16,7732
,,,,,,,,17,7632
,,,,,,,,18,7519
,,,,,,,,19,7416
,,,,,,,,20,7449
,,,,,,,,21,7222
,,,,,,,,22,6879
,,,,,,,,23,6584
,,,,,,,,24,6336
,,,,,,,,25,6182
,,,,,,,,26,6049
,,,,,,,,27,5919
,,,,,,,,28,5873
,,,,,,,,29,5900
,,,,,,,,30,6021
,,,,,,,,31,6665
,,,,,,,,32,7521
,,,,,,,,33,8311
,,,,,,,,34,8871
,,,,,,,,35,9300
,,,,,,,,36,9586
,,,,,,,,37,9818
,,,,,,,,38,9983
,,,,,,,,39,10023
,,,,,,,,40,10010
,,,,,,,,41,9978
,,,,,,,,42,9454
,,,,,,,,43,9141
,,,,,,,,44,8843
,,,,,,,,45,8266
,,,,,,,,46,7712
,,,,,,,,47,7222
,,,,,,,,48,6675
,,,,,,,,49,6328
,,,,,,,,50,6147
,,,,,,,,51,6041
,,,,,,,,52,5986
,,,,,,,,53,5657
,,,,,,,,54,5950
,,,,,,,,55,6564
,,,,,,,,56,7195
,,,,,,,,57,7756
,,,,,,,,58,8079
,,,,,,,,59,8215
,,,,,,,,60,8258
,,,,,,,,61,8317
,,,,,,,,62,8387
,,,,,,,,63,8352
,,,,,,,,64,8230
,,,,,,,,65,8117
,,,,,,,,66,8039
,,,,,,,,67,7957
,,,,,,,,68,7917
,,,,,,,,69,7611
,,,,,,,,70,7162
,,,,,,,,71,6827
,,,,,,,,72,6394
,,,,,,,,73,6030
,,,,,,,,74,5863
,,,,,,,,75,5768
,,,,,,,,76,5729
,,,,,,,,77,5783
,,,,,,,,78,5940
,,,,,,,,79,6423
,,,,,,,,80,7025
,,,,,,,,81,7447
,,,,,,,,82,7647
,,,,,,,,83,7676
,,,,,,,,84,7573
,,,,,,,,85,7555
,,,,,,,,86,7487
,,,,,,,,87,7460
,,,,,,,,88,7429
,,,,,,,,89,7392
,,,,,,,,90,7367
,,,,,,,,91,7336
,,,,,,,,92,7360
,,,,,,,,93,7120
,,,,,,,,94,6728
,,,,,,,,95,6446
,,,,,,,,96,6125
,,,,,,,,97,5840
,,,,,,,,98,5675
,,,,,,,,99,5588
,,,,,,,,100,5523
,,,,,,,,101,5494
,,,,,,,,102,5500
,,,,,,,,103,5833
,,,,,,,,104,6415
,,,,,,,,105,7053
,,,,,,,,106,7463
,,,,,,,,107,7707
,,,,,,,,108,7798
,,,,,,,,109,7867
,,,,,,,,110,7933
,,,,,,,,111,7933
,,,,,,,,112,7932
,,,,,,,,113,7893
,,,,,,,,114,7760
,,,,,,,,115,7591
,,,,,,,,116,7643
,,,,,,,,117,7394
,,,,,,,,118,7052
,,,,,,,,119,6772
,,,,,,,,120,6342
,,,,,,,,121,5973
,,,,,,,,122,5766
,,,,,,,,123,5625
,,,,,,,,124,5555
,,,,,,,,125,5505
,,,,,,,,126,5501
,,,,,,,,127,5794
,,,,,,,,128,6389
,,,,,,,,129,7034
,,,,,,,,130,7553
